YEARS ALIVE,FPE,BTB,FBU,GTA,GPT,FPI,FTE,SRE,FRO,ROR,LUD,FCC,BUD,FIE
hatch,0.04,0.02,0.005,0.004,0.004,0.02,0.07,0.05,0.02,0.005,0.03,0.01,0.006,0.01
1,0.2,0.17,0.51,0.41,0.33,0.53,0.21,0.15,0.31,0.55,0.11,0.37,0.61,0.49
2,0.3,0.25,0.51,0.41,0.33,0.53,0.14,0.15,0.31,0.55,0.13,0.37,0.54,0.49
3,0.4,0.28,0.51,,,0.53,0.14,0.22,0.35,0.55,0.15,0.37,0.41,0.49
4,0.4,0.3,0.51,,,0.53,0.14,0.25,0.35,,0.16,0.37,,0.49
5,0.4,,,,,0.53,0.14,0.32,0.41,,,0.37,,0.49
6,0.4,,,,,0.53,0.14,0.36,0.41,,,,,0.49
7,0.4,,,,,0.53,0.14,,0.41,,,,,0.49
8,0.4,,,,,,,,0.52,,,,,
9,0.4,,,,,,,,,,,,,
10,0.4,,,,,,,,,,,,,
11,0.4,,,,,,,,,,,,,
